datum;enhet;veckor;typ;boarea;avgift;pris;maklare;kalla;objekt
2026-09-04;20:2;29;villa_118;119;396;90000;Svensk Fastighetsförmedling Åre;hemnet;Åre Strand 20:2 V29
2026-07-08;1A2;14;lgh_74_81;76;330;70000;Hometown Fastighetsmäkleri;hemnet;Åre Strand 1A2 vecka 14
2026-07-03;3A4;17;lgh_74_81;81;329;60000;Fastighetsbyrån Åre;hemnet;Åre Strand 3A4 Vecka 17
2026-06-03;6A4;;paket_1_6;81;1168;500000;PeakFast;hemnet+mspecs;Åre strand 6A4
2026-05-26;5B4;52;lgh_53_59;57;296;100000;Svensk Fastighetsförmedling Åre;hemnet;Åre Strand 5B4 v52
2026-05-15;5B3;;lgh_53_59;58;305;5000;Hometown Fastighetsmäkleri;hemnet;Åre Strand, 5B3
2026-05-14;19:1;29;villa_118;118;395;75000;Hometown Fastighetsmäkleri;hemnet;Åre Strand 19:1 vecka 29
2026-05-05;22:2;26;lgh_53_59;58;390;44000;Hometown Fastighetsmäkleri;hemnet;Åre Strand 22:2 vecka 26
2026-04-29;22:2;33;villa_118;118;390;50000;Hometown Fastighetsmäkleri;hemnet;Åre Strand 22:2 vecka 33
2026-03-27;4B1;8;lgh_111;111;383;200000;Svensk Fastighetsförmedling Åre;hemnet;Åre Strand 4B1 V8
2026-03-20;1A2;16;lgh_74_81;76;321;120000;Hometown Fastighetsmäkleri;hemnet;Åre Strand 1A2 vecka 16
2026-03-14;14:1;12;lgh_90_95;95;385;125000;Hometown Fastighetsmäkleri;hemnet;Åre strand 14:1 vecka 12
2026-03-13;6B3;11;lgh_74_81;78;346;125000;Svensk Fastighetsförmedling Åre;hemnet;Åre Strand 6B3 V11
2026-03-09;23:1;9;villa_118;118;;300000;PeakFast;mspecs;Åre strand 23:1 v.9
2026-03-05;7A1;15;lgh_74_81;74;308;50000;Fastighetsbyrån Åre;hemnet;Åre Strand 7A1, Vecka 15
2026-03-04;19:1;39;villa_118;118;390;50000;Hometown Fastighetsmäkleri;hemnet;Åre Strand 19:1 vecka 39
