datum;objekt;boarea;rum;avgift;slutpris;diff;maklare
2026-09-04;Åre Strand 20:2 V29;119;4;396;90000;0;Svensk Fastighetsförmedling Åre
2026-07-08;Åre Strand 1A2 vecka 14;76;3;330;70000;-7;Hometown Fastighetsmäkleri
2026-07-03;Åre Strand 3A4 Vecka 17;81;3;329;60000;-54;Fastighetsbyrån Åre
2026-06-03;Åre strand 6A4;81;3;1168;500000;-13;PeakFast
2026-05-26;Åre Strand 5B4 v52;57;2;296;100000;-17;Svensk Fastighetsförmedling Åre
2026-05-15;Åre Strand, 5B3;58;2;305;5000;67;Hometown Fastighetsmäkleri
2026-05-14;Åre Strand 19:1 vecka 29;118;4;395;75000;0;Hometown Fastighetsmäkleri
2026-05-05;Åre Strand 22:2 vecka 26;58;4;390;44000;-12;Hometown Fastighetsmäkleri
2026-04-29;Åre Strand 22:2 vecka 33;118;4;390;50000;0;Hometown Fastighetsmäkleri
2026-03-27;Åre Strand 4B1 V8;111;4;383;200000;-9;Svensk Fastighetsförmedling Åre
2026-03-20;Åre Strand 1A2 vecka 16;76;3;321;120000;-35;Hometown Fastighetsmäkleri
2026-03-14;Åre strand 14:1 vecka 12;95;3;385;125000;-17;Hometown Fastighetsmäkleri
2026-03-13;Åre Strand 6B3 V11;78;3;346;125000;0;Svensk Fastighetsförmedling Åre
2026-03-05;Åre Strand 7A1, Vecka 15;74;4;308;50000;-50;Fastighetsbyrån Åre
2026-03-04;Åre Strand 19:1 vecka 39;118;4;390;50000;-17;Hometown Fastighetsmäkleri
2026-03-02;Åre strand 20:1 vecka 14;119;5;388;250000;0;PeakFast
2026-03-02;Åre Strand 1B3, vecka 52;76;3;329;150000;-6;Fastighetsbyrån Åre
2026-02-27;Åre Strand 21:2 vecka 15;118;4;400;160000;-9;Hometown Fastighetsmäkleri
2026-02-27;Åre Strand 7B4 V8;53;3;261;115000;-12;Svensk Fastighetsförmedling Åre
2026-02-12;Åre Strand 7A3 V7;53;3;261;125000;-7;Svensk Fastighetsförmedling Åre
2026-02-09;Åre strand 5A2 v7;59;2;304;80000;-27;Fastighetsbyrån Åre
2026-01-23;Åre Strand 19:1 V31;118;4;;125000;0;Svensk Fastighetsförmedling Åre
2026-01-21;Åre Strand 1B4 vecka 1;63;2;305;130000;0;Hometown Fastighetsmäkleri
2026-01-02;Åre Strand 2A3;76;3;355;130000;;Svensk Fastighetsförmedling Åre
2025-10-21;Åre Strand 5B6 vecka 17;58;2;279;45000;-47;Fastighetsbyrån Åre
2025-09-20;Åre Strand 17:1;119;4;388;150000;0;Svensk Fastighetsförmedling Åre
2025-08-27;Åre Strand 18:2 vecka 2;118;4;388;160000;7;Svensk Fastighetsförmedling Åre
2025-08-26;Åre Strand 23:2 V.32;119;4;388;100000;-13;Svensk Fastighetsförmedling Åre
2025-08-21;Åre Strand 4B2 v52;78;3;321;175000;0;Svensk Fastighetsförmedling Åre
2025-08-18;Åre Strand 6A3 vecka 16;78;3;326;65000;-58;Fastighetsbyrån Åre
2025-08-13;Åre Strand 6A2, vecka 8;77;3;339;125000;0;Fastighetsbyrån Åre
2025-07-02;Åre Strand 1A1 Vecka 6;111;4;375;157500;-5;Svensk Fastighetsförmedling Åre
2025-04-16;Åre Strand 2A1 (&2A1B), Vecka 9;111;4;456;225000;-10;Fastighetsbyrån Åre
2025-03-05;Åre strand 19:2 v.12;118;4;388;225000;-10;HusmanHagberg Åre
2025-02-21;Åre Strand 14:2, vecka 10;95;3;375;180000;0;Fastighetsbyrån Åre
2025-02-14;Åre strand 6A4 (5);81;3;1168;610000;11;HusmanHagberg Åre
2025-02-14;Åre Strand 3B1 v.11;111;4;375;165000;-8;HusmanHagberg Åre
