objekt;utgangspris;maklare;kontraktsdag;slutpris;anm
Åre strand 13:1 v.3;70000;Jimmy Blomgren;2025-02-27;70000;
Åre strand 14:1 v.13;245000;Yvonne Eriksson;2021-08-11;240000;
Åre strand 14:1 v.14 & 2B4 v.40;285000;Yvonne Eriksson;2021-05-04;250000;två veckor i två lägenheter
Åre strand 14:1 v.8;200000;Jimmy Blomgren;2025-01-10;180000;
Åre strand 14:2 v.52;300000;Yvonne Eriksson;2022-11-28;260000;
Åre strand 14:2 v.6;160000;Jimmy Blomgren;2025-11-14;150000;
Åre strand 15:2 v.4;135000;Yvonne Eriksson;2021-03-18;125000;
Åre strand 17:1 V.6;195000;Jimmy Blomgren;2024-01-11;180000;
Åre strand 17:2 AB;240000;Yvonne Eriksson;2020-02-19;220000;vecka saknas
Åre strand 17:2 AB v.10;265000;Yvonne Eriksson;2020-12-02;265000;
Åre strand 18:1 v.1 & v.9;670000;Yvonne Eriksson;2020-11-05;600000;två veckor
Åre strand 18:1 v.52;335000;Yvonne Eriksson;2021-01-05;335000;
Åre Strand 19:1 v 12 & 37;385000;Yvonne Eriksson;2021-08-03;360000;två veckor
Åre strand 19:1 v.15;250000;Jimmy Blomgren;2024-07-30;250000;
Åre strand 19:1 v.33;115000;Jimmy Blomgren;2024-08-30;100000;
Åre strand 19:2 v.12;250000;Jimmy Blomgren;2025-03-05;225000;
Åre strand 1A2, v.52;180000;Jimmy Blomgren;2024-09-03;160000;
Åre strand 1B2, v.11;170000;Yvonne Eriksson;2020-02-21;170000;
Åre strand 1B2, v.11;190000;Yvonne Eriksson;2022-02-17;140000;
Åre strand 21:2 V.45;45000;Jimmy Blomgren;2024-02-09;45000;
Åre Strand 21A;125000;Yvonne Eriksson;2020-07-26;105000;oklar beteckning, vecka saknas
Åre strand 22:1 v.27;150000;Jimmy Blomgren;2025-07-16;140000;
Åre strand 22:1 v.31;135000;Yvonne Eriksson;2022-03-31;125000;
Åre strand 22:2;115000;Yvonne Eriksson;2020-07-04;115000;vecka saknas
Åre strand 22:2 V.5;175000;Jimmy Blomgren;2025-02-10;165000;
Åre strand 23:1 v.1;230000;Yvonne Eriksson;2021-10-12;230000;
Åre strand 23:1 v.11;255000;Yvonne Eriksson;2021-04-27;250000;
Åre Strand 23:1 v.14 & 14:2 v.29;385000;Yvonne Eriksson;2020-03-08;300000;två veckor i två lägenheter
Åre strand 23:1 vecka 3;120000;Jimmy Blomgren;2024-11-21;120000;
Åre strand 23:2 v.1;225000;Yvonne Eriksson;2020-07-21;225000;
Åre strand 23:2 v.30;135000;Jimmy Blomgren;2023-12-08;80000;
Åre strand 23:2 v.8;295000;Yvonne Eriksson;2021-05-19;295000;
Åre strand 2A4 v.52;150000;Yvonne Eriksson;2021-11-30;120000;
Åre strand 2B1 AB v.6;135000;Yvonne Eriksson;2021-12-06;125000;
Åre Strand 2B3 v.51;85000;Yvonne Eriksson;2020-12-18;70000;
Åre strand 2B4 v.1;160000;Jimmy Blomgren;2025-10-23;125000;
Åre Strand 3 A3, v48;69000;Yvonne Eriksson;2020-10-13;50000;
Åre strand 3A1, v.2;155000;Yvonne Eriksson;2022-02-14;150000;
Åre strand 3A3 v.5;85000;Yvonne Eriksson;2021-04-02;60000;
Åre Strand 3B1 v.11;180000;Jimmy Blomgren;2025-02-14;165000;
Åre strand 3B3 v.7;145000;Jimmy Blomgren;2024-01-08;145000;
Åre Strand 4A1;85000;Yvonne Eriksson;2020-08-19;85000;objektsbeskrivningen säger v.26
Åre strand 4A2 v.1;185000;Yvonne Eriksson;2021-05-26;160000;
Åre Strand 4B4 v.9;250000;Yvonne Eriksson;2021-11-15;250000;
Åre strand 5A1 v.14;165000;Yvonne Eriksson;2022-11-08;135000;
Åre strand 5A1 v.52;265000;Yvonne Eriksson;2022-12-02;240000;
Åre strand 5A5 v.7;80000;Yvonne Eriksson;2020-12-11;80000;
Åre strand 5A6, v.12;115000;Yvonne Eriksson;2021-01-14;115000;
Åre Strand 5B5 v.7;110000;Yvonne Eriksson;2021-05-08;110000;
Åre Strand 6 A1 3;875000;Yvonne Eriksson;2022-10-31;800000;HC Villas paket 3 (var sjätte vecka)
Åre Strand 6A1, 1;750000;Jimmy Blomgren;2025-02-14;700000;HC Villas paket 1
Åre strand 6A4 (4);595000;Yvonne Eriksson;2022-02-21;500000;HC Villas paket 4
Åre strand 6A4 (5);550000;Jimmy Blomgren;2025-02-14;610000;HC Villas paket 5
Åre Strand 6B3 v.4;85000;Yvonne Eriksson;2021-08-27;60000;
Åre Strand 6B3 v.4;70000;Jimmy Blomgren;2025-01-20;60000;
Åre strand 7A4 v.52;150000;Jimmy Blomgren;2025-02-10;130000;
Åre strand 7A5 v.52;150000;Jimmy Blomgren;2024-09-05;120000;
Åre strand 7B2 v.10;199000;Yvonne Eriksson;2021-10-12;199000;
Åre strand 7B4 v.9;185000;Jimmy Blomgren;2024-07-30;160000;
Åre strand 7B6 v.52;249000;Yvonne Eriksson;2021-12-06;180000;
Åre strand 8B4;2975000;Jimmy Blomgren;2021-06-29;3450000;HEL lägenhet, ingen andel — utesluts
